"PIB por componentes","Anos","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Consumo Público","GR - Grécia","18622.2","20232.8","22342.7","22581.8","25162.2","26107.4","28483","31429.1","33918.3","37106.3","39888.8","43911.1","47749.6","50143.1","55366.9","50188.4","45103.7","41564.3","36923.7","36229.9","35978.2","35401.2","35695.2","35362.8","36537.2"
"Consumo Público","HU - Hungria","8111.7","7952","8872.3","9079.2","9786.9","10861.2","12652.7","15689.1","17358.9","18472.7","20151.6","20259.7","21280","23157.8","20831.5","21351.5","21040.6","20005.4","20164.7","21246.9","22235.5","23205.9","25546.6","26355.4","27866.7"
"Consumo Público","IE - Irlanda","9125.9","9915.2","11767.6","12469.2","13843.2","15915.8","18734.7","21467","23343.6","25202.9","27283.3","30017.1","33274.7","35284.3","34252.6","31514.3","31325.8","30959.3","30447.4","31265.8","32197.5","33455.8","35606.3","38561.5","41497.1"
"Consumo Público","IT - Itália","156616.5","182112.1","193857.5","198866.6","206206","220195","239959","250419","264649","278255","292969","302522","307266","320333","326155","331166","326718","321754","319441","317979","316344","322650","327002","334836","336148"
"Consumo Público","LV - Letónia","974.3","1032.2","1209.1","1448.9","1588.4","1803.1","1925.6","2097.4","2199.9","2324.3","2455.6","2976.6","3996.3","4817.3","3587.7","3283.9","3687.5","3844.3","4027.4","4145.5","4415.3","4526.2","4852.5","5242.3","5536.9"
"Consumo Público","LT - Lituânia","1229.1","1589.8","2155.8","2595.1","2435.8","2798.7","2892.9","3119.9","3259.2","3495.4","3886.4","4605.5","5066.8","6100.8","5719.8","5563.3","5737.2","5831.7","5836.4","6077.5","6428.2","6610.8","6895.8","7464.1","8207.3"
"Consumo Público","LU - Luxemburgo","2628.5","2762.3","2834.8","2855","3197.3","3424.7","3762.9","4072.4","4390.1","4753.3","5149.5","5362","5657.7","5999.1","6457.8","6844.4","7204.7","7679","8042.9","8341","8593.1","8733.3","9333.3","10004.5","10858.3"
"Consumo Público","MT - Malta","508.7","573.4","611.8","650.5","684","779.2","862.3","891.4","903","929.8","931.1","1002.7","1032.7","1209.4","1213.9","1286.4","1347","1450.7","1481.1","1606.7","1691.3","1669.2","1728.1","1993.9","2287.3"
"Consumo Público","NL - Países Baixos","77593.9","75864.5","77218.4","81531.7","86383","92910","101160","110867","117438","119129","122735","135551","143861","152051","162444","167744","167706","169945","170326","172465","172354","174842","179491","187606","196018"
"Consumo Público","PL - Polónia","20520.1","23314.1","25398.7","27398.4","28480.4","33688.7","39631","39150.7","36343.8","37678.3","45085","50808.5","56883.5","68179.7","59368","69175.7","68639","69812.7","71568.6","74743.9","77614.3","76347.9","82625.8","88357.2","93810.5"
"Consumo Público","PT - Portugal","15893","17082.2","18180.5","19738.2","21562.9","24226.7","26136.2","27872.3","29369","31094.6","33272.5","33785.4","34406.8","35406.9","37374","36987.5","34700.4","30857.8","32134.5","31839.2","32080","32799.6","33673","34582.6","35670.2"
"Consumo Público","CZ - República Checa","9310","10370.7","11087.5","11497.4","12307.4","13281.6","14946.1","18531.5","19644.6","20149","22670.5","25090.7","26861.4","31302.7","31219.9","32641.7","33068.8","31972.6","31793.8","30838","32374","33982.3","36786.4","41293","44765.3"
"Consumo Público","RO - Roménia","3501.9","3389.3","3991.6","4407.8","5638.6","6843.9","7131.2","7218.8","8200.3","8895.8","12865.9","15479.9","19643.3","23280.2","20165.1","19407.3","18811.5","19340","20236.6","21416.8","22029.3","25709.7","29497.2","34297.4","38641.6"
"Consumo Público","SE - Suécia","52066.2","59363.2","59899.1","61269.1","65294.4","69952.8","66920.1","72187.6","76188.2","77611.7","78617.4","83078.8","86672.9","87434","81802.7","93795.1","102951.9","110735.3","115749.8","114466.9","117242.1","123034","125025.4","122617.1","123463.6"
